datetime,DA_scheduled_Belgium_MW,DA_scheduled_Germany_MW,DA_scheduled_Italy_MW,DA_scheduled_Luxembourg_MW,DA_scheduled_Spain_MW,DA_scheduled_Switzerland_MW,DA_scheduled_UnitedKingdom_MW,physical_actual_Belgium_MW,physical_actual_Germany_MW,physical_actual_Italy_MW,physical_actual_Luxembourg_MW,physical_actual_Spain_MW,physical_actual_Switzerland_MW,physical_actual_UnitedKingdom_MW
01/01/2024 18:30 - 01/01/2024 18:45,2971.75,1080.35,2438,0,2833.2,3162,3014,3149.19,3294.1,2249.5,0,2930.03,1854.25,3055
01/01/2024 18:45 - 01/01/2024 19:00,2971.75,1080.35,2438,0,2833.2,3162,3014,3149.19,3294.1,2249.5,0,2930.03,1854.25,3055
01/01/2024 19:00 - 01/01/2024 19:15,2259.15,2447.85,2186,0,2800,3199.8,3014,2946.36,3657.26,2350.75,0,2775.66,2166.75,3057.75
01/01/2024 19:15 - 01/01/2024 19:30,2259.15,2447.85,2186,0,2800,3199.8,3014,2946.36,3657.26,2350.75,0,2775.66,2166.75,3057.75
01/01/2024 19:30 - 01/01/2024 19:45,2259.15,2447.85,2186,0,2800,3199.8,3014,2946.36,3657.26,2350.75,0,2775.66,2166.75,3057.75
01/01/2024 19:45 - 01/01/2024 20:00,2259.15,2447.85,2186,0,2800,3199.8,3014,2946.36,3657.26,2350.75,0,2775.66,2166.75,3057.75
01/01/2024 20:00 - 01/01/2024 20:15,2588.15,2957.5,2249,0,2800,3189.6000000000004,3014,3280.94,3966.73,2331.25,0,2700.88,2481.25,3055.75
01/01/2024 20:15 - 01/01/2024 20:30,2588.15,2957.5,2249,0,2800,3189.6000000000004,3014,3280.94,3966.73,2331.25,0,2700.88,2481.25,3055.75
01/01/2024 20:30 - 01/01/2024 20:45,2588.15,2957.5,2249,0,2800,3189.6000000000004,3014,3280.94,3966.73,2331.25,0,2700.88,2481.25,3055.75
01/01/2024 20:45 - 01/01/2024 21:00,2588.15,2957.5,2249,0,2800,3189.6000000000004,3014,3280.94,3966.73,2331.25,0,2700.88,2481.25,3055.75
01/01/2024 21:00 - 01/01/2024 21:15,2264.45,2951.05,2438,0,2800,3200,3014,2792.7,4160.13,2181,0,2759.71,2724.25,3055.5
01/01/2024 21:15 - 01/01/2024 21:30,2264.45,2951.05,2438,0,2800,3200,3014,2792.7,4160.13,2181,0,2759.71,2724.25,3055.5
01/01/2024 21:30 - 01/01/2024 21:45,2264.45,2951.05,2438,0,2800,3200,3014,2792.7,4160.13,2181,0,2759.71,2724.25,3055.5
01/01/2024 21:45 - 01/01/2024 22:00,2264.45,2951.05,2438,0,2800,3200,3014,2792.7,4160.13,2181,0,2759.71,2724.25,3055.5
01/01/2024 22:00 - 01/01/2024 22:15,2410.25,2733.9,2438,0,2800,3198.5,2931,2850.8,3677.98,2082.5,0,2796.85,2923.75,2979.5
01/01/2024 22:15 - 01/01/2024 22:30,2410.25,2733.9,2438,0,2800,3198.5,2931,2850.8,3677.98,2082.5,0,2796.85,2923.75,2979.5
01/01/2024 22:30 - 01/01/2024 22:45,2410.25,2733.9,2438,0,2800,3198.5,2931,2850.8,3677.98,2082.5,0,2796.85,2923.75,2979.5
01/01/2024 22:45 - 01/01/2024 23:00,2410.25,2733.9,2438,0,2800,3198.5,2931,2850.8,3677.98,2082.5,0,2796.85,2923.75,2979.5
01/01/2024 23:00 - 01/01/2024 23:15,1294.1,2790.7,2337,0,2800,3200,2075,2537.62,3158.32,1908.25,0,2739.81,3036.75,2194.25
01/01/2024 23:15 - 01/01/2024 23:30,1294.1,2790.7,2337,0,2800,3200,2075,2537.62,3158.32,1908.25,0,2739.81,3036.75,2194.25
01/01/2024 23:30 - 01/01/2024 23:45,1294.1,2790.7,2337,0,2800,3200,2075,2537.62,3158.32,1908.25,0,2739.81,3036.75,2194.25
01/01/2024 23:45 - 02/01/2024 00:00,1294.1,2790.7,2337,0,2800,3200,2075,2537.62,3158.32,1908.25,0,2739.81,3036.75,2194.25
02/01/2024 00:00 - 02/01/2024 00:15,1029.5,3901.2,2308.7,0,2450,3200,1912,2219.16,3462.66,1956,0,2519.91,3184,2001
02/01/2024 00:15 - 02/01/2024 00:30,1029.5,3901.2,2308.7,0,2450,3200,1912,2219.16,3462.66,1956,0,2519.91,3184,2001
02/01/2024 00:30 - 02/01/2024 00:45,1029.5,3901.2,2308.7,0,2450,3200,1912,2219.16,3462.66,1956,0,2519.91,3184,2001
02/01/2024 00:45 - 02/01/2024 01:00,1029.5,3901.2,2308.7,0,2450,3200,1912,2219.16,3462.66,1956,0,2519.91,3184,2001
02/01/2024 01:00 - 02/01/2024 01:15,2038,4553,2215.8,0,2450,3200,1198,3109.87,3774.5,1956,0,2515.71,3184,2100
02/01/2024 01:15 - 02/01/2024 01:30,2038,4553,2215.8,0,2450,3200,1198,3109.87,3774.5,1956,0,2515.71,3184,2100
02/01/2024 01:30 - 02/01/2024 01:45,2038,4553,2215.8,0,2450,3200,1198,3109.87,3774.5,1956,0,2515.71,3184,2100
02/01/2024 01:45 - 02/01/2024 02:00,2038,4553,2215.8,0,2450,3200,1198,3109.87,3774.5,1956,0,2515.71,3184,2100
02/01/2024 02:00 - 02/01/2024 02:15,811.8,3201.9,2495,0,2450,3200,1518,2296.8,3305.42,1956,0,2470.73,3184,2179
